TEMPORARY_ID,REGULAR_WAGES,OVERTIME_WAGES,OTHER_WAGES,TOTAL_WAGES
007655226022,72704.64,13492.76,0.00,86197.40
030682950320,43373.85,1942.50,1021.98,46338.33
032799200325,116077.60,0.00,2798.50,118876.10
060856808712,93152.76,0.00,0.00,93152.76
017884489214,74504.31,9647.82,0.00,84152.13
015939638856,101111.78,0.00,2731.26,103843.04
074954788557,79560.52,888.16,0.00,80448.68
060633893705,27777.11,726.84,395.20,28899.15
085643522524,123076.62,0.00,0.00,123076.62
042737510169,94057.21,0.00,0.00,94057.21
055769624096,72119.03,13305.03,1090.84,86514.90
082769883919,80610.80,10556.16,1383.80,92550.76
047770403303,77901.48,19151.04,0.00,97052.52
090771246555,95353.11,6174.95,7604.32,109132.38
071793612789,63588.00,0.00,833.00,64421.00
016911768216,82706.05,0.00,0.00,82706.05
050945844215,122417.68,0.00,2927.00,125344.68
074953426074,60424.16,0.00,1152.40,61576.56
010953950355,71319.04,0.00,0.00,71319.04
911014554729,95725.65,0.00,0.00,95725.65
781031368653,69893.66,14047.99,1951.73,85893.38
251033354392,114622.52,0.00,2000.00,116622.52
054408560044,83339.88,0.00,0.00,83339.88
069655226174,90504.98,0.00,0.00,90504.98
005662133929,136373.34,0.00,3002.50,139375.84
023706202053,155945.33,0.00,4423.30,160368.63
046718415861,78595.30,9242.48,0.00,87837.78
093728643499,93280.18,7048.08,1339.20,101667.46
077766890702,52134.40,610.06,0.00,52744.46
022830615049,19140.88,0.00,123.55,19264.43
421013667302,81412.67,0.00,0.00,81412.67
070449022727,12680.66,0.00,895.36,13576.02
097471933702,52613.95,57.76,0.00,52671.71
002521940054,51158.76,4790.78,2000.00,57949.54
040568965227,87688.72,0.00,0.00,87688.72
001578723967,78063.90,7349.10,13.00,85426.00
058619533235,51078.71,0.00,1663.59,52742.30
042646236365,32284.90,14284.74,696.56,47266.20
073651015698,68889.40,0.00,0.00,68889.40
059739473765,107093.29,0.00,0.00,107093.29
076831758053,52341.76,516.19,197.97,53055.92
511015983021,126434.51,0.00,0.00,126434.51
241033596391,85861.32,606.30,227.36,86694.98
000403883040,62124.08,0.00,0.00,62124.08
079597094238,19254.45,0.00,0.00,19254.45
087491346842,82094.20,0.00,0.00,82094.20
099608540655,47009.21,208.71,1053.42,48271.34
002635312309,96309.15,11436.07,8227.83,115973.05
088641031769,107019.54,852.25,0.00,107871.79
015652013604,130278.52,864.45,0.00,131142.97
072709733569,55248.64,0.00,6603.12,61851.76
053838165711,57409.43,0.00,1150.00,58559.43
017881261465,55440.48,0.00,0.00,55440.48
099891135101,49003.36,825.97,0.00,49829.33
046909407378,80965.59,0.00,0.00,80965.59
057935479438,62960.29,0.00,1013.65,63973.94
079965982292,100843.60,0.00,0.00,100843.60
001984541411,57186.89,2756.19,0.00,59943.08
081034660234,51093.52,0.00,0.00,51093.52
061419311113,75686.26,0.00,0.00,75686.26
075426288411,57727.24,0.00,0.00,57727.24
063491346944,99213.47,0.00,0.00,99213.47
015635863059,64463.50,57224.68,502.12,122190.30
043671358205,80895.21,0.00,0.00,80895.21
021676107861,74302.59,0.00,0.00,74302.59
002743385398,124393.28,0.00,0.00,124393.28
013764474885,80897.01,0.00,0.00,80897.01
001786652312,61635.71,0.00,0.00,61635.71
067794117031,7350.95,0.00,0.00,7350.95
077727682588,84388.94,0.00,0.00,84388.94
079918434526,80578.96,0.00,0.00,80578.96
030996404531,128867.78,0.00,5631.70,134499.48
098998009012,118176.46,0.00,0.00,118176.46
050365406636,75409.60,6624.16,0.00,82033.76
038368404682,94812.45,0.00,0.00,94812.45
005429792985,52314.60,0.00,0.00,52314.60
050468104710,73599.16,0.00,0.00,73599.16
015491347148,8549.34,0.00,91.92,8641.26
090569404978,81061.80,0.00,1000.00,82061.80
056578292339,33524.16,0.00,297.00,33821.16
087597513204,73723.86,0.00,0.00,73723.86
050601599559,153944.88,0.00,0.00,153944.88
092624036881,4655.41,0.00,109.24,4764.65
010645152726,93013.59,13964.20,87.50,107065.29
003697726336,54492.75,0.00,1639.39,56132.14
046700658290,79257.59,2690.05,578.93,82526.57
004717023047,13305.42,0.00,6.00,13311.42
015730631268,64124.82,0.00,0.00,64124.82
050746540052,81358.00,9018.45,2847.08,93223.53
090771959875,63877.54,5731.76,15.60,69624.90
044807478829,52719.22,0.00,0.00,52719.22
050843280540,72969.04,0.00,0.00,72969.04
054871103937,79262.00,10231.22,0.00,89493.22
023880694084,59763.85,0.00,0.00,59763.85
087904224573,59720.96,0.00,0.00,59720.96
001011148901,64742.09,0.00,0.00,64742.09
191024168980,34008.14,61.86,0.00,34070.00
641026022465,90209.22,0.00,0.00,90209.22
351030156347,139322.03,0.00,2699.50,142021.53
031030301946,139720.99,0.00,2783.00,142503.99
059411244586,67533.12,4363.71,0.00,71896.83
062448912140,64454.74,1804.16,1140.68,67399.58
081543895320,39068.24,0.00,0.00,39068.24
025590442317,41912.02,0.00,0.00,41912.02
093600351671,49477.21,0.00,0.00,49477.21
026603839490,71229.63,0.00,0.00,71229.63
099605740975,90298.48,0.00,0.00,90298.48
094699730047,133008.79,0.00,0.00,133008.79
061734249378,73057.58,20601.11,0.00,93658.69
048734589783,72097.62,11534.98,487.13,84119.73
056778923712,79395.03,0.00,0.00,79395.03
034796631759,53755.70,0.00,8.61,53764.31
084806363540,83652.56,4586.76,0.00,88239.32
027826451547,55157.44,0.00,1642.79,56800.23
007850013041,35411.93,0.00,3353.03,38764.96
054888044013,19963.53,0.00,0.00,19963.53
012941765459,8929.04,0.00,103.22,9032.26
055992130127,34859.59,0.00,0.00,34859.59
016996655502,59029.05,0.00,0.00,59029.05
088586107694,96144.09,0.00,0.00,96144.09
062665373759,42258.13,1374.45,628.13,44260.71
036793298342,139196.50,0.00,3143.50,142340.00
069797886119,39005.72,310.56,0.00,39316.28
075799701356,45703.71,0.00,0.00,45703.71
041819037398,153944.88,0.00,0.00,153944.88
052857800833,25279.50,0.00,0.00,25279.50
036885845511,24111.52,0.00,0.00,24111.52
001893432857,105036.75,0.00,0.00,105036.75
063896115098,57977.39,0.00,0.00,57977.39
073939107171,30152.62,7.71,61.71,30222.04
056971711011,93465.04,0.00,0.00,93465.04
831050772239,8929.84,203.28,0.00,9133.12
031390669054,61710.88,343.36,0.00,62054.24
003392201874,73702.32,204.54,0.00,73906.86
052432229464,46562.80,798.66,0.00,47361.46
099448578097,25198.80,41.30,362.50,25602.60
025679354355,93735.52,0.00,0.00,93735.52
092686237815,111502.46,0.00,0.00,111502.46
035705636124,36139.73,237.90,9134.54,45512.17
090741769741,50105.22,36.41,0.00,50141.63
004840310871,44410.22,0.00,5332.88,49743.10
020849071475,61092.74,0.00,0.00,61092.74
005875855222,72803.68,13282.14,143.85,86229.67
077934891640,70130.72,59.20,0.00,70189.92
093937775228,73344.39,9787.35,1090.84,84222.58
059938894232,77968.25,1837.28,0.00,79805.53
046974793511,72813.90,0.00,0.00,72813.90
068986925726,42015.74,0.00,0.00,42015.74
701018882917,83837.53,0.00,0.00,83837.53
261046003059,19509.18,154.20,88.40,19751.78
211052008745,58628.05,1059.63,100.10,59787.78
034511978925,76373.50,11332.90,762.97,88469.37
003562514382,109070.49,0.00,0.00,109070.49
039606895732,44246.40,191.67,137.64,44575.71
037614428539,40550.01,0.00,0.00,40550.01
014621065560,75768.05,0.00,0.00,75768.05
001707617439,64914.24,0.00,0.00,64914.24
066723202910,3419.61,0.00,0.00,3419.61
098737036260,67804.80,0.00,0.00,67804.80
075858034072,58696.81,0.00,0.00,58696.81
088902065673,44366.76,0.00,0.00,44366.76
004907316086,8865.28,0.00,0.00,8865.28
069946267657,56404.39,0.00,0.00,56404.39
731019520720,53097.31,767.50,9.75,53874.56
751024901214,39543.63,215.34,0.00,39758.97
036403636606,94669.04,0.00,0.00,94669.04
026420502687,48989.33,153.98,0.00,49143.31
041433846182,138562.11,0.00,3283.50,141845.61
058529549355,67537.60,0.00,0.00,67537.60
000624838003,43811.02,0.00,0.00,43811.02
080645850245,75143.55,0.00,0.00,75143.55
060649093629,62204.88,0.00,0.00,62204.88
059684925207,56783.94,0.00,0.00,56783.94
017794683937,49129.24,0.00,166.08,49295.32
086795564302,46288.00,0.00,0.00,46288.00
033803132965,55748.40,0.00,3001.48,58749.88
084834159792,90328.72,0.00,1134.19,91462.91
097874141046,43466.87,0.00,0.00,43466.87
048893656852,60735.71,1842.45,0.00,62578.16
031902065729,42854.06,49.14,0.00,42903.20
070938361646,41809.04,0.00,1085.50,42894.54
010947851560,24087.22,0.00,9255.99,33343.21
066970063188,57839.25,0.00,0.00,57839.25
005972996706,52295.36,0.00,717.34,53012.70
094990465844,57159.12,0.00,7152.20,64311.32
131018048427,20325.73,689.49,21.45,21036.67
181028456416,41377.92,352.08,0.00,41730.00
301041068009,29.34,0.00,37.74,67.08
078338264112,77450.35,0.00,0.00,77450.35
054526899060,53439.57,38.54,130.98,53609.09
079600934796,65090.60,0.00,0.00,65090.60
098634367897,81868.76,0.00,0.00,81868.76
038667100172,60903.36,0.00,0.00,60903.36
068672475010,19074.70,769.78,625.22,20469.70
083677512095,71035.40,0.00,0.00,71035.40
030762773000,52409.92,0.00,0.00,52409.92
091773254582,32968.56,401.06,526.83,33896.45
092778153358,53284.32,0.00,0.00,53284.32
054788367084,29413.34,0.00,48.04,29461.38
069789064420,71362.40,6374.40,7138.04,84874.84
081800576454,12143.95,0.00,0.00,12143.95
041823603460,43213.41,0.00,2953.81,46167.22
057846594749,27217.43,9064.82,1811.87,38094.12
068930657122,36522.26,79.10,0.00,36601.36
028946637565,49640.00,0.00,0.00,49640.00
121000811016,43017.63,0.00,0.00,43017.63
941009119764,46971.84,0.00,0.00,46971.84
811021333784,25074.67,0.00,776.34,25851.01
281022018933,46418.49,1950.54,0.00,48369.03
331023729798,38542.00,0.00,756.60,39298.60
054387069386,45529.94,138.25,0.00,45668.19
035422164316,13485.09,0.00,0.00,13485.09
019447685950,69600.24,0.00,0.00,69600.24
096460350648,52995.52,78.66,0.00,53074.18
058478145082,48610.36,774.72,246.20,49631.28
080522037086,78843.26,0.00,0.00,78843.26
008527278598,26199.85,0.00,0.00,26199.85
058657588579,76988.08,1550.45,0.00,78538.53
057706910701,53671.44,0.00,0.00,53671.44
019719876899,51345.29,0.00,0.00,51345.29
016756057372,64141.20,11039.61,0.00,75180.81
001757510891,42708.66,0.00,0.00,42708.66
049775707902,45168.89,0.00,298.03,45466.92
067785125951,50266.56,4277.97,230.92,54775.45
032809767102,37572.88,0.00,1419.85,38992.73
066836554098,52455.68,0.00,0.00,52455.68
085857975972,54604.18,0.00,0.00,54604.18
011858150785,53845.88,0.00,0.00,53845.88
072898900867,81506.50,0.00,0.00,81506.50
040901677758,38575.72,702.74,15.93,39294.39
056979909582,49513.62,143.94,0.65,49658.21
039993691496,54355.81,0.00,111.48,54467.29
131015491408,80596.92,0.00,41.60,80638.52
851019520867,60506.36,1043.45,10.93,61560.74
901051676185,96816.95,0.00,1995.63,98812.58
092361694359,50255.26,0.00,48.14,50303.40
018385516290,13298.43,918.50,8180.74,22397.67
069431651259,22671.48,0.00,0.00,22671.48
097526614488,68390.56,0.00,0.00,68390.56
066545914663,18715.47,11.33,0.00,18726.80
039572208729,38462.53,0.00,11.60,38474.13
012572383464,10547.20,37.08,0.00,10584.28
030594409648,16356.77,0.00,174.44,16531.21
011598433647,56499.86,0.00,0.00,56499.86
040601600224,64226.43,0.00,1054.60,65281.03
096604253944,80962.72,0.00,0.00,80962.72
037608212816,37133.22,0.00,0.00,37133.22
075631048991,67430.82,0.00,0.00,67430.82
083643368354,81614.60,0.00,3763.88,85378.48
095661455092,28825.13,61.16,0.00,28886.29
049682072459,81118.76,1141.50,0.00,82260.26
035716256134,69600.24,0.00,0.00,69600.24
054722234622,117297.00,4854.40,426.18,122577.58
064734726377,11676.76,1489.14,182.01,13347.91
040757246888,45815.58,0.00,0.00,45815.58
059802323413,51710.69,0.00,0.00,51710.69
075815489337,49366.97,275.52,0.00,49642.49
005816286016,15555.76,0.00,6033.36,21589.12
035817448995,67407.62,0.00,0.00,67407.62
067841024886,45786.43,0.00,0.00,45786.43
070844051461,138356.67,0.00,2578.00,140934.67
076846417668,45924.97,1020.37,0.00,46945.34
068870185537,55262.34,0.00,0.00,55262.34
021870702515,60810.08,224.90,0.00,61034.98
040887312160,56902.24,0.00,0.00,56902.24
035890742875,30788.50,261.85,966.89,32017.24
053906709920,61261.38,6486.66,752.61,68500.65
025933768108,38316.17,180.61,0.00,38496.78
089943887111,52305.32,392.60,1675.55,54373.47
058988141128,55124.77,5297.76,0.00,60422.53
781005744947,56732.76,0.00,0.00,56732.76
093402769052,33803.70,0.00,0.00,33803.70
076408684364,83572.96,287.03,0.00,83859.99
098494997898,41051.66,0.00,0.00,41051.66
031507959565,36779.56,1832.32,1210.31,39822.19
055525473995,24355.64,354.24,0.00,24709.88
032546646979,27417.26,0.00,0.00,27417.26
041574737270,64632.96,0.00,0.00,64632.96
059609936824,83657.93,0.00,0.00,83657.93
003624037603,75870.24,0.00,0.00,75870.24
031665223977,24535.23,0.00,0.00,24535.23
072665299135,38987.91,184.54,0.00,39172.45
035673069788,10476.32,23.88,152.60,10652.80
077676847796,10439.20,244.67,2255.40,12939.27
003690378838,46461.64,1192.45,0.00,47654.09
042715557789,42623.36,1656.79,177.84,44457.99
060718277766,58579.84,0.00,0.00,58579.84
088733909360,53161.60,0.00,0.00,53161.60
054756520290,39788.48,137.97,0.00,39926.45
058835537527,100770.10,0.00,0.00,100770.10
080840132703,46107.52,0.00,0.00,46107.52
099843043865,36918.74,172.26,218.88,37309.88
040852187168,60399.65,1284.21,0.00,61683.86
042859897069,51068.40,671.63,0.00,51740.03
006875055981,15906.88,0.00,0.00,15906.88
034897397888,36793.02,185.33,26.00,37004.35
086906875393,36773.81,4318.44,56.47,41148.72
063910506990,38653.20,0.00,0.00,38653.20
063923375860,13963.12,319.07,293.80,14575.99
096926996752,40482.48,167.56,121.86,40771.90
017938201993,43789.81,1514.27,0.00,45304.08
045941447279,18834.37,1535.40,597.78,20967.55
046978786488,46716.07,0.00,0.00,46716.07
081979144008,12865.71,0.00,0.00,12865.71
077438090184,33849.45,0.00,0.00,33849.45
092459154668,29918.93,387.08,0.00,30306.01
014493784386,25926.39,7.18,0.00,25933.57
083511881841,21381.57,1694.00,647.42,23722.99
070556347930,41625.02,0.00,0.00,41625.02
045568175175,25901.68,526.74,765.77,27194.19
094626356950,10857.28,132.84,0.00,10990.12
043680457963,33927.13,883.12,0.00,34810.25
090681412532,1931.81,0.00,0.00,1931.81
020794935884,1615.50,0.00,0.00,1615.50
076461433949,87460.92,0.00,1600.00,89060.92
024468211405,143092.70,0.00,2741.76,145834.46
043481272438,102983.41,2640.61,0.00,105624.02
088498723239,20242.99,0.00,0.00,20242.99
001526429207,87123.71,0.00,0.00,87123.71
033548753232,96655.01,0.00,0.00,96655.01
026555365501,15365.06,0.00,65857.10,81222.16
095564120394,115149.13,0.00,0.00,115149.13
000582867026,49621.53,0.00,0.00,49621.53
078592566544,4928.89,0.00,207.51,5136.40
030641748533,111379.15,0.00,2646.50,114025.65
073644547546,70836.87,0.00,0.00,70836.87
092645245402,42868.80,0.00,1084.85,43953.65
018650032499,61823.60,0.00,64051.40,125875.00
086664939252,78755.04,0.00,0.00,78755.04
040667041595,153344.88,0.00,0.00,153344.88
009681503074,79824.96,0.00,0.00,79824.96
025688656242,91409.76,0.00,0.00,91409.76
029689309444,41912.06,0.00,0.00,41912.06
014704733751,104475.52,0.00,2464.50,106940.02
042715367856,91984.32,0.00,65694.84,157679.16
046719132609,132033.20,0.00,3114.50,135147.70
044721700824,104479.44,0.00,0.00,104479.44
038730173479,6309.12,0.00,60238.79,66547.91
084731473512,94996.94,2344.28,0.00,97341.22
014743542386,97414.72,0.00,1600.00,99014.72
012751835434,109889.57,0.00,4323.24,114212.81
020760761375,79444.00,0.00,0.00,79444.00
027761943600,4799.98,0.00,1200.00,5999.98
038762402859,57637.82,0.00,5362.19,63000.01
019762992929,97414.72,0.00,1875.20,99289.92
062764825790,97218.58,0.00,3847.70,101066.28
009779269350,116839.99,6607.18,0.00,123447.17
091783237728,143836.42,0.00,4816.02,148652.44
088791241176,84856.67,0.00,0.00,84856.67
078796845963,84862.40,0.00,0.00,84862.40
064812444459,57995.60,8788.98,52.00,66836.58
056818942647,120459.15,0.00,2841.50,123300.65
006828654729,104479.48,0.00,0.00,104479.48
089830282439,112043.36,2102.88,0.00,114146.24
013832387698,92057.75,0.00,0.00,92057.75
095838791004,14027.90,0.00,0.00,14027.90
074847863125,44608.54,0.00,0.00,44608.54
020849866001,100837.90,0.00,0.00,100837.90
035856196998,144369.29,0.00,0.00,144369.29
027858296953,78755.04,0.00,0.00,78755.04
003861379237,81892.79,0.00,1500.00,83392.79
036872626002,58533.31,0.00,0.00,58533.31
093888413709,81892.72,0.00,0.00,81892.72
078896370648,97414.72,0.00,0.00,97414.72
034899933875,78755.04,0.00,0.00,78755.04
029902320015,135349.76,0.00,5106.25,140456.01
036909770718,111158.46,2537.36,0.00,113695.82
045929078204,11581.09,0.00,897.41,12478.50
041930100263,120459.04,0.00,0.00,120459.04
080930584004,43054.96,0.00,500.00,43554.96
034936316004,115463.81,0.00,0.00,115463.81
023942013126,91409.78,0.00,0.00,91409.78
057943975158,80596.93,0.00,0.00,80596.93
072945298550,78755.04,0.00,1000.00,79755.04
008951415004,53968.86,0.00,38008.42,91977.28
053954301346,6796.02,0.00,42102.23,48898.25
058964050273,31331.04,0.00,0.00,31331.04
034966329845,116277.21,0.00,0.00,116277.21
060978772593,104275.12,0.00,0.00,104275.12
013979232291,124781.29,0.00,0.00,124781.29
091983258190,53383.21,268.25,0.00,53651.46
059989139944,71805.27,0.00,0.00,71805.27
017989594826,69439.64,0.00,0.00,69439.64
007995840931,78755.04,0.00,0.00,78755.04
043996744370,47582.02,0.00,0.00,47582.02
019998097996,84864.00,0.00,0.00,84864.00
341008365841,73352.24,0.00,0.00,73352.24
001021079943,76115.66,0.00,0.00,76115.66
121028545468,84864.00,0.00,500.00,85364.00
501032379082,118216.17,13201.68,168.00,131585.85
161038849320,92769.10,0.00,0.00,92769.10
071045662149,112043.36,0.00,7710.56,119753.92
961049480885,343643.04,0.00,8176.50,351819.54
036334546125,49620.59,0.00,0.00,49620.59
064345139377,102482.32,0.00,0.00,102482.32
000355276315,118852.81,0.00,0.00,118852.81
090359195322,73716.35,0.00,1275.40,74991.75
001366362307,84861.60,0.00,1184.36,86045.96
002377122553,78755.04,0.00,1000.00,79755.04
004387842107,91408.04,0.00,0.00,91408.04
082391179651,98168.59,0.00,0.00,98168.59
044435455956,21872.57,0.00,0.00,21872.57
018462192741,93902.64,0.00,0.00,93902.64
044463165348,49621.52,0.00,0.00,49621.52
057477516774,17752.53,0.00,17526.31,35278.84
031486746710,119172.36,2191.73,1250.00,122614.09
073496711646,18122.76,0.00,42651.79,60774.55
031497616790,19147.24,0.00,35373.31,54520.55
095522802763,90474.80,0.00,0.00,90474.80
035523662811,9192.15,0.00,0.00,9192.15
019535558456,78755.04,0.00,0.00,78755.04
090547926089,131194.81,2924.43,0.00,134119.24
027549475213,12272.52,0.00,0.00,12272.52
070570195799,18570.20,0.00,44698.63,63268.83
069573431146,87955.19,0.00,0.00,87955.19
079575606905,57206.28,0.00,0.00,57206.28
018584057711,149570.72,0.00,0.00,149570.72
093590274071,114146.45,0.00,0.00,114146.45
089616866111,41912.04,0.00,0.00,41912.04
077621147204,120374.43,0.00,0.00,120374.43
083629701484,2065.20,0.00,0.00,2065.20
004636729181,41761.82,0.00,3189.03,44950.85
062648632561,91408.04,0.00,0.00,91408.04
093660851238,149570.72,0.00,0.00,149570.72
071662890933,38534.55,0.00,0.00,38534.55
071669570369,51867.80,3266.64,1657.84,56792.28
083675517993,132897.47,14995.85,0.00,147893.32
005678251126,83656.53,1864.76,0.00,85521.29
070680018102,49621.52,89.55,10.40,49721.47
053682000476,153334.66,0.00,0.00,153334.66
095696293644,112188.97,0.00,2646.50,114835.47
053696939631,102303.76,0.00,0.00,102303.76
067698874008,127917.63,0.00,0.00,127917.63
012702014900,49533.73,7411.58,0.00,56945.31
092703295769,4825.14,0.00,0.00,4825.14
058705850536,51439.77,0.00,15833.88,67273.65
002726447018,16705.59,0.00,0.00,16705.59
050736766869,73207.24,0.00,56960.34,130167.58
036737987425,52588.93,0.00,55969.08,108558.01
071745805309,45403.38,0.00,0.00,45403.38
065749283397,6126.43,0.00,38642.18,44768.61
062755331516,81122.06,0.00,0.00,81122.06
088755794753,92379.40,0.00,0.00,92379.40
053774613445,97412.88,0.00,0.00,97412.88
044779760264,100843.61,0.00,0.00,100843.61
022783662006,87917.91,63.50,0.00,87981.41
083791091808,140628.62,0.00,3446.50,144075.12
013797826021,104478.45,0.00,0.00,104478.45
076798953302,65871.52,0.00,0.00,65871.52
051803384372,68323.84,0.00,0.00,68323.84
013806800161,90125.63,0.00,604.12,90729.75
026807233863,12157.60,0.00,0.00,12157.60
028811742927,104485.44,0.00,2514.00,106999.44
047813773076,49473.07,0.00,0.00,49473.07
057814325874,78755.04,0.00,0.00,78755.04
008820930405,9971.20,0.00,28566.22,38537.42
011823120143,73350.87,0.00,0.00,73350.87
095827421802,66326.16,0.00,47265.31,113591.47
009828508817,84864.00,0.00,0.00,84864.00
092829594406,63559.08,0.00,0.00,63559.08
032838645950,87460.88,0.00,5219.16,92680.04
010848779830,156457.68,7980.05,0.00,164437.73
077864365356,14717.17,1529.15,11571.97,27818.29
096865463736,96452.21,0.00,0.00,96452.21
072875629864,19709.89,0.00,49723.81,69433.70
028877683143,120459.04,0.00,2841.50,123300.54
076884210274,51144.08,0.00,45143.40,96287.48
067890745715,73839.98,0.00,76793.40,150633.38
085891755543,90680.90,0.00,1600.00,92280.90
096896229897,131791.98,0.00,4651.49,136443.47
071903730136,21424.08,0.00,0.00,21424.08
053910619728,62921.05,5226.09,0.00,68147.14
084917021482,78247.66,0.00,0.00,78247.66
056919363067,78529.20,169.32,1813.92,80512.44
024931412191,4332.54,0.00,0.00,4332.54
053936177739,138056.10,0.00,0.00,138056.10
039954530832,70254.79,274.73,12117.20,82646.72
052957877429,6453.89,0.00,0.00,6453.89
063971714690,143554.94,15147.25,0.00,158702.19
024983580027,65892.34,701.58,1079.10,67673.02
049993996916,92153.04,0.00,0.00,92153.04
004998463800,78755.04,0.00,0.00,78755.04
381003807785,52982.78,0.00,0.00,52982.78
301004255983,47409.63,0.00,342.25,47751.88
801007338145,12142.63,0.00,0.00,12142.63
051008677436,78664.56,0.00,2306.50,80971.06
011015692035,71522.19,0.00,5781.20,77303.39
181025295328,80351.91,0.00,0.00,80351.91
121026659890,110940.76,0.00,0.00,110940.76
521035244275,41912.01,0.00,0.00,41912.01
141035678869,133924.96,0.00,3159.50,137084.46
481036113280,78755.04,0.00,0.00,78755.04
481044332753,77947.82,7921.80,463.26,86332.88
581048585232,29345.78,0.00,46475.80,75821.58
231049014299,4231.31,0.00,76847.72,81079.03
121051965332,61468.40,0.00,195.03,61663.43
032342244313,81455.17,0.00,0.00,81455.17
010348613267,78755.04,0.00,0.00,78755.04
033373539007,181076.74,0.00,0.00,181076.74
032389783927,83073.38,0.00,0.00,83073.38
074392086125,84864.00,0.00,1601.60,86465.60
016401287428,90681.76,0.00,0.00,90681.76
026409916662,90577.94,0.00,0.00,90577.94
015422766815,87474.22,0.00,101.45,87575.67
064436270443,105017.34,0.00,0.00,105017.34
090443319252,117018.97,0.00,2743.50,119762.47
050461987153,53673.40,58.12,0.00,53731.52
079481801120,84864.00,0.00,0.00,84864.00
050493793914,31956.48,3601.40,11015.68,46573.56
006498329690,20470.74,603.41,36665.09,57739.24
048509933907,68323.84,0.00,0.00,68323.84
031510815622,100843.68,0.00,0.00,100843.68
050516752029,104731.26,4473.85,0.00,109205.11
008545282468,90043.11,0.00,12.60,90055.71
068558151511,109736.56,0.00,0.00,109736.56
017564653150,87960.08,0.00,0.00,87960.08
053577090391,59304.96,0.00,570.80,59875.76
052588585983,52011.36,0.00,48701.29,100712.65
024596853047,68323.84,0.00,0.00,68323.84
058606492926,84863.60,0.00,0.00,84863.60
046609289512,123283.11,0.00,0.00,123283.11
